"ITI"	"VisualStimulus"	"AuditoryStimulus"	"BlockNo"	"subject"	"pbn"	"age"	"sex"	"handedness"	"opticalaids"	"FirstRT"	"FirstKey"	"FinalRT"	"condition"	"error"
"176"	1393	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	258.940123	3	258.940123	"AV"	FALSE
"177"	586	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	282.182189	2	290.816947	"A"	FALSE
"178"	545	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	269.732586	2	325.982944	"AV"	FALSE
"179"	903	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	261.991004	1	269.992197	"V"	FALSE
"180"	683	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	379.093297	2	395.045643	"A"	FALSE
"181"	586	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	718.718883	2	734.737393	"A"	FALSE
"182"	649	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	250.044079	2	258.121307	"AV"	FALSE
"183"	1354	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	235.245048	2	243.198476	"V"	FALSE
"184"	696	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	330.256095	2	338.085515	"A"	FALSE
"185"	726	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	207.17841	1	223.137564	"AV"	FALSE
"186"	632	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	272.031553	1	288.157984	"V"	FALSE
"187"	1269	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	303.305123	2	311.220567	"A"	FALSE
"188"	1067	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	230.326778	2	238.314242	"A"	FALSE
"189"	991	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	356.855192	1	364.80598	"V"	FALSE
"190"	1288	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	209.26438	1	217.233195	"A"	FALSE
"191"	508	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	250.015686	2	252.48467	"V"	FALSE
"192"	1197	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	235.148632	1	259.232096	"V"	FALSE
"193"	1218	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	182.606004	1	198.551654	"V"	FALSE
"194"	790	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	229.187038	3	229.187038	"AV"	FALSE
"195"	984	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	191.457568	1	215.51276	"A"	FALSE
"196"	686	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	239.249345	1	247.732456	"A"	FALSE
"197"	570	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	220.869656	1	244.955145	"AV"	FALSE
"198"	1197	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	190.827221	1	198.78931	"AV"	FALSE
"199"	1222	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	272.696961	1	289.233489	"V"	FALSE
"200"	633	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	245.817984	1	662.223138	"A"	FALSE
"201"	715	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	198.190167	2	214.378726	"AV"	FALSE
"202"	1390	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	240.990218	3	240.990218	"V"	FALSE
"203"	1105	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	215.512579	1	239.80246	"AV"	FALSE
"204"	530	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	228.171913	2	244.319884	"AV"	FALSE
"205"	607	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	211.080546	2	218.91561	"AV"	FALSE
"206"	1383	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	330.659985	3	330.659985	"A"	FALSE
"207"	854	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	283.94498	2	299.923354	"V"	FALSE
"208"	1474	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	218.480429	1	226.3604	"AV"	FALSE
"209"	1070	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	182.125019	1	198.241525	"AV"	FALSE
"210"	836	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	234.926865	1	242.851619	"A"	FALSE
"211"	1100	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	390.186893	2	398.110027	"V"	FALSE
"212"	1117	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	243.978	2	246.358521	"V"	FALSE
"213"	1352	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	233.244974	1	241.678638	"V"	FALSE
"214"	1125	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	417.779242	3	417.779242	"A"	FALSE
"215"	606	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	395.13729	3	395.13729	"V"	FALSE
"216"	1428	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	393.925287	2	401.933944	"A"	FALSE
"217"	1089	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	237.97339	2	245.900632	"AV"	FALSE
"218"	538	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	278.303366	2	286.202407	"V"	FALSE
"219"	757	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	251.966773	3	251.966773	"V"	FALSE
"220"	521	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	180.930279	1	197.048652	"AV"	FALSE
"221"	1062	" true "	" true "	5	1	1	26	" f "	" r "	" cl "	214.64456	3	214.64456	"AV"	FALSE
"222"	1038	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	299.498277	1	307.408772	"V"	FALSE
"223"	669	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	233.820953	2	258.088718	"A"	FALSE
"224"	1143	" false "	" true "	5	1	1	26	" f "	" r "	" cl "	244.746373	2	260.939944	"A"	FALSE
"225"	1291	" true "	" false "	5	1	1	26	" f "	" r "	" cl "	514.873732	3	514.873732	"V"	FALSE
"226"	1405	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	707.591378	2	716.027853	"A"	FALSE
"227"	1164	" true "	" false "	6	1	1	26	" f "	" r "	" cl "	241.646226	2	249.552229	"V"	FALSE
"228"	1158	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	185.263383	2	193.299441	"A"	FALSE
"229"	1350	" true "	" false "	6	1	1	26	" f "	" r "	" cl "	270.972396	2	278.815131	"V"	FALSE
"230"	1346	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	205.097592	2	213.090531	"A"	FALSE
"231"	595	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	203.838662	1	227.937638	"A"	FALSE
"232"	645	" true "	" false "	6	1	1	26	" f "	" r "	" cl "	303.417318	3	303.417318	"V"	FALSE
"233"	1322	" true "	" true "	6	1	1	26	" f "	" r "	" cl "	204.995779	2	221.146674	"AV"	FALSE
"234"	793	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	200.364118	3	200.364118	"A"	FALSE
"235"	1119	" true "	" true "	6	1	1	26	" f "	" r "	" cl "	183.35935	2	199.534857	"AV"	FALSE
"236"	1315	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	183.658416	2	215.92594	"A"	FALSE
"237"	572	" true "	" true "	6	1	1	26	" f "	" r "	" cl "	213.091235	2	237.308323	"AV"	FALSE
"238"	962	" true "	" true "	6	1	1	26	" f "	" r "	" cl "	234.950226	3	234.950226	"AV"	FALSE
"239"	519	" true "	" false "	6	1	1	26	" f "	" r "	" cl "	347.263686	2	355.085911	"V"	FALSE
"240"	595	" false "	" true "	6	1	1	26	" f "	" r "	" cl "	305.777287	2	329.849015	"A"	FALSE
"241"	1372	" true "	" false "	6	1	1	26	" f "	" r "	" cl "	234.508135	1	250.486897	"V"	FALSE
